collection_id,number,year,location
22412,1,1973,"Loughborough, UK"
22415,2,1975,"Loughborough, UK"
22418,3,1976,"Loughborough, UK"
22421,4,1977,"Loughborough, UK"
22424,5,1979,"Loughborough, UK"
22427,6,1980,"Zaria, Nigeria"
22430,7,1981,"Loughborough, UK"
22433,8,1982,"Madras, India"
22436,9,1983,"Harare, Zimbabwe"
22439,10,1984,Singapore
22442,11,1985,"Dar es Salaam, Tanzania"
22445,12,1986,"Calcutta, India"
22448,13,1987,"Lilongwe, Malawi"
22451,14,1988,"Kuala Lumpur, Malaysia"
22454,15,1989,"Kano, Nigeria"
22457,16,1990,"Hyderabad, India"
22460,17,1991,"Nairobi, Kenya"
22463,18,1992,"Kathmandu, Nepal"
22466,19,1993,"Accra, Ghana"
22469,20,1994,"Colombo, Sri Lanka"
22472,21,1995,"Kampala, Uganda"
22475,22,1996,"New Delhi, India"
22478,23,1997,"Durban, South Africa"
22481,24,1998,"Islamabad, Pakistan"
22484,25,1999,"Addis Ababa, Ethiopia"
22487,26,2000,"Dhaka, Bangladesh"
22490,27,2001,"Lusaka, Zambia"
22493,28,2002,"Kolkata (Calcutta), India"
22496,29,2003,"Abuja, Nigeria"
22499,30,2004,"Vientiane, Laos"
22502,31,2005,"Kampala, Uganda"
22505,32,2006,"Colombo, Sri Lanka"
22508,33,2008,"Accra, Ghana"
22511,34,2009,"Addis Ababa, Ethiopia"
22514,35,2011,"Loughborough, UK"
22517,36,2013,"Nakuru, Kenya"
22520,37,2014,"Hanoi, Vietnam"
22523,38,2015,"Loughborough, UK"
22526,39,2016,"Kumasi, Ghana"
22529,40,2017,"Loughborough, UK"
22532,41,2018,"Nakuru, Kenya"
36718,42,2021,Online
57540,43,2024,Online
