"collection_title","article_id","title","conference_id","Author","Year","hdl","doi"
"1, 1973 (Loughborough, UK)","9586346","The organization of overseas work","1","J.W. Lovatt, P.I. Helmore",2018,"https://hdl.handle.net/2134/31649",""
"1, 1973 (Loughborough, UK)","9586352","Wastewater and refuse treatment and disposal in India","1","G.J. Mohanrao",2018,"https://hdl.handle.net/2134/29820",""
"1, 1973 (Loughborough, UK)","9586343","Buildings and their environment","1","Miles Danby",2018,"https://hdl.handle.net/2134/29575",""
"1, 1973 (Loughborough, UK)","9586349","Needs and problems in water supply in developing countries","1","J.M.G. Van Damme",2018,"https://hdl.handle.net/2134/28620",""
"2, 1975 (Loughborough, UK)","9594005","Water supply as a world problem","2","W.E. Wood",2018,"https://hdl.handle.net/2134/30684",""
"2, 1975 (Loughborough, UK)","9594002","Intermediate rate water filtration for hot and developing countries","2","I.C. Agarwal, G.D. Agrawal",2018,"https://hdl.handle.net/2134/30404",""
"2, 1975 (Loughborough, UK)","9593987","Low cost water treatment for developing countries","2","S.V. Patwardhan",2018,"https://hdl.handle.net/2134/30077",""
"2, 1975 (Loughborough, UK)","9593984","Comfort and ventilation in an equatorial climate","2","C.G. Webb",2018,"https://hdl.handle.net/2134/29798",""
"2, 1975 (Loughborough, UK)","9593990","A discussion: British consulting engineers in Arab States","2","Parneet Paul, J.F. Bates",2018,"https://hdl.handle.net/2134/29342",""
"2, 1975 (Loughborough, UK)","9593999","Solid waste management and disposal - practical considerations","2","J. Marriott",2018,"https://hdl.handle.net/2134/29154",""
"2, 1975 (Loughborough, UK)","9593996","Development of the aqua-privy for urban sanitation","2","P.A. Oluwande",2018,"https://hdl.handle.net/2134/29071",""
"2, 1975 (Loughborough, UK)","9593993","Wastes management as a world problem","2","H.R. Wasmer",2018,"https://hdl.handle.net/2134/28572",""
"3, 1976 (Loughborough, UK)","9588578","Policy and planning for water supply in Nigeria: the example of Oyo North Division","3","T.O. Egunjobi",2018,"https://hdl.handle.net/2134/29783",""
"3, 1976 (Loughborough, UK)","9588587","The evaluation of village water supplies in Lesotho: some preliminary findings","3","Liz Burns",2018,"https://hdl.handle.net/2134/29535",""
"3, 1976 (Loughborough, UK)","9588575","The SWS unit for water supply in developing countries","3","G.S. Cansdale",2018,"https://hdl.handle.net/2134/29478",""
"3, 1976 (Loughborough, UK)","9588581","The public health and economic aspects of composting night soil with municipal refuse in tropical Africa","3","C. Peel",2018,"https://hdl.handle.net/2134/28820",""
"3, 1976 (Loughborough, UK)","9588569","The Oxfam sanitation unit in Bangladesh","3","J.C. Howard",2018,"https://hdl.handle.net/2134/28788",""
"3, 1976 (Loughborough, UK)","9588572","Predictive methodology as a tool for planning water and wastewater processes","3","G.W. Reid, S. Law, R. Discenza",2018,"https://hdl.handle.net/2134/28755",""
"3, 1976 (Loughborough, UK)","9588566","Environmental planning in relation to health infrastructure in the developing world","3","J.C. Moughtin",2018,"https://hdl.handle.net/2134/28726",""
"4, 1977 (Loughborough, UK)","9595229","Problems of conflicting demands for water in El Salvador","4","C.T. Myerscough",2018,"https://hdl.handle.net/2134/30716",""
"4, 1977 (Loughborough, UK)","9595235","Simplified concrete tank construction and associated equipment","4","W. Stuart",2018,"https://hdl.handle.net/2134/30657",""
"4, 1977 (Loughborough, UK)","9595238","Water pollution control works in Libya","4","M.F.G. Archer",2018,"https://hdl.handle.net/2134/30630",""
"4, 1977 (Loughborough, UK)","9595226","The use of high rate biofiltration in hot and humid climatic conditions","4","M.L. Hemming",2018,"https://hdl.handle.net/2134/30130",""
"4, 1977 (Loughborough, UK)","9595217","Water supply in Bangladesh","4","A.W. Turner",2018,"https://hdl.handle.net/2134/29835",""
"4, 1977 (Loughborough, UK)","9595220","Some aspects of public health engineering in the Middle East","4","D.R. Young",2018,"https://hdl.handle.net/2134/29192",""
"4, 1977 (Loughborough, UK)","9595223","Sewerage sulphides and corrosion in Venezuela","4","Mark Lansdell",2018,"https://hdl.handle.net/2134/29129",""
"4, 1977 (Loughborough, UK)","9595232","The improvement of domestic sanitation in unsewered areas of Kenya","4","R.J. Holland",2018,"https://hdl.handle.net/2134/28998",""
"4, 1977 (Loughborough, UK)","9595214","Interceptor study for Laguna Lake Development Authority, Philippines","4","I.C. Camp",2018,"https://hdl.handle.net/2134/28780",""
"5, 1979 (Loughborough, UK)","9587249","Collaboration for appropriate technology","5","Andrew P. Cotton, Ken V. Ellis, Len G. Hutton, Bill Moffat, Geoffrey H. Mortimer, John Pickford",2018,"https://hdl.handle.net/2134/30708",""
"5, 1979 (Loughborough, UK)","9587252","Regional water supply in Ghana","5","Robert R. Bannerman",2018,"https://hdl.handle.net/2134/30504",""
"5, 1979 (Loughborough, UK)","9587237","Cooperation for the water decade","5","Paul Kerkhoven",2018,"https://hdl.handle.net/2134/30352",""
"5, 1979 (Loughborough, UK)","9587231","Agua del pueblo","5","Bruce Clemens",2018,"https://hdl.handle.net/2134/29728",""
"5, 1979 (Loughborough, UK)","9587261","Waste stabilizsation ponds in Paraiba State, Brazil","5","Sergio R. Mendonca",2018,"https://hdl.handle.net/2134/29486",""
"5, 1979 (Loughborough, UK)","9587255","Drainage problems of a South Pacific island","5","J.G. Evans",2018,"https://hdl.handle.net/2134/29369",""
"5, 1979 (Loughborough, UK)","9587234","E.H.E. studies in developing countries","5","B.Z. Diamant",2018,"https://hdl.handle.net/2134/29007",""
"5, 1979 (Loughborough, UK)","9587243","Sewerage, sewage treatment and refuse disposal for the city of Sana'a","5","J.F. Jackson",2018,"https://hdl.handle.net/2134/29002",""
"6, 1980 (Zaria, Nigeria)","9595262","People and pit latrines in Africa","6","Morag Bell, John Pickford",2018,"https://hdl.handle.net/2134/31672",""
"6, 1980 (Zaria, Nigeria)","9595361","Lessons learned from U.S. experience with septic tank systems","6","Richard J. Otis",2018,"https://hdl.handle.net/2134/31652",""
"6, 1980 (Zaria, Nigeria)","9595328","Aspects of low cost sanitation in Africa","6","G.H. Read, Richard G. Feachem, Duncan D. Mara",2018,"https://hdl.handle.net/2134/31642",""
"6, 1980 (Zaria, Nigeria)","9595283","The concept of a depressurized water tank","6","S. Oleszkiewicz, J.A. Ogunrombi, A. Florek, A.O. Abatan, J. Wojdylo",2018,"https://hdl.handle.net/2134/31622",""
"6, 1980 (Zaria, Nigeria)","9595247","The development and implementation of water supply projects in the Sehal area of West Africa","6","Hugh C. Balfour",2018,"https://hdl.handle.net/2134/31602",""
"6, 1980 (Zaria, Nigeria)","9595253","Engineering measures for the development of surface water resources in Kano State","6","M.A. Abdullahi",2018,"https://hdl.handle.net/2134/30727",""
"6, 1980 (Zaria, Nigeria)","9595298","Cost comparison in water supply alternatives in Saudi Arabia","6","T. Husain, M. Ukayli, M. Sadiq",2018,"https://hdl.handle.net/2134/30706",""
"6, 1980 (Zaria, Nigeria)","9595241","A standard design manual for rural water supply in a developing country","6","L. Direktor",2018,"https://hdl.handle.net/2134/30631",""
"6, 1980 (Zaria, Nigeria)","9595307","Experience of Community Development Department and SATA-HELVETAS with rural water supplies as self-help projects in West Cameroon","6","Lorenz A. Raymann",2018,"https://hdl.handle.net/2134/30585",""
"6, 1980 (Zaria, Nigeria)","9595343","Appropriate sanitation for human settlements in Africa","6","Harold H. Leich",2018,"https://hdl.handle.net/2134/30596",""
"6, 1980 (Zaria, Nigeria)","9595316","Environmental pollution problems of small communities in the Niger Delta","6","C.E. Egborge",2018,"https://hdl.handle.net/2134/30364",""
